"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"PDK2",0.160270246014494,-0.28221588380441,0.978400143468561,0.0140450482332875,"Not DE"
"ITGA3",7.42764221065011e-09,0.510169111678408,0.827430410537301,-0.0477389142961436,"DE (up) in MLH1"
"ZFX",0.0701390905216643,-0.237147670252446,0.109851979143793,-0.325956912901756,"Not DE"
"LAMP2",1.45557749349405e-07,0.41235149786069,0.845516721478078,-0.0450811076855088,"DE (up) in MLH1"
"ITGA2B",0.411571921059524,1.27762265768197,0.754779527376623,1.0053963772901,"Not DE"
"ASB4",0.100751923881131,4.48209571667706,NA,1.15843292292239,"Not DE"
"GDE1",0.225198430309644,0.136267002604115,0.846585709169436,-0.0485993146984113,"Not DE"
"REX1BD",0.000544689350548272,-0.650644754040921,0.545419880863814,0.157934299664631,"DE (down) in MLH1"
"CRLF1",0.00645759015580887,-5.08151613385999,NA,-0.552894897841206,"Not DE"
"OSBPL7",0.0217791769441452,-0.486481820889499,0.742826041961354,0.125381448361474,"DE (down) in MLH1"
"TMEM98",8.51915697740678e-11,-1.05671908208787,0.000775527405264283,0.555736622234699,"Not DE"
"KRT33A",NA,NA,NA,NA,"Not DE"
"MAP3K14",0.0880608345992835,0.21506355361737,0.595409869992,-0.139015722481832,"Not DE"
"ABCC8",0.350264083003081,0.964171051958319,0.456095005150325,1.09433598146094,"Not DE"
"CACNG3",NA,NA,NA,-0.814047889434527,"Not DE"
"TMEM132A",5.76032669628264e-18,-0.934005226880186,0.00157407608773878,-0.305109507595414,"DE (down) in both"
"AP2B1",0.042820633787377,-0.129196314312008,0.912226832232038,-0.022122924141314,"DE (down) in MLH1"
"TAC1",NA,NA,NA,NA,"Not DE"
"ZNF263",0.382612217830644,0.214110878513253,0.997485733847932,0.00219993799382989,"Not DE"
"CX3CL1",0.489278927579295,0.840882097261012,0.963769648145348,-0.176469175399199,"Not DE"
"SPATA20",1.99792587793301e-08,0.590661862284532,0.155033129661271,-0.353668792309835,"DE (up) in MLH1"
"CACNA1G",0.513242487047116,1.63115539370348,NA,2.88676367184954,"Not DE"
"TNFRSF12A",0.057116575184864,-0.219181895673462,0.0138142607561838,-0.284879203033686,"DE (down) in MSH2"
"DLX6",NA,1.70783757316628,NA,3.04447899840199,"Not DE"
"MAP3K9",0.0739112375256366,-0.157171382671342,0.756436417748213,0.0675677103142971,"Not DE"
"RALA",5.02678372888869e-06,-0.413391575585262,0.185793543652789,-0.171444181465592,"DE (down) in MLH1"
"BAIAP2L1",0.0118470091612512,0.479952216963101,0.812411296378991,-0.125844250460658,"DE (up) in MLH1"
"KDM7A",0.00549052275061574,-0.712726959648407,0.523747325372851,-0.241582670678281,"DE (down) in MLH1"
